"","rate_sd1","rate_sd2","rate_sd3","rate_sd4","avg_rate_q1","avg_rate_q2","avg_rate_q3","avg_rate_q4","median_rate_q1","median_rate_q2","median_rate_q3","median_rate_q4","sd_q1","sd_q2","sd_q3","sd_q4","avg_sec_q1","avg_sec_q2","avg_sec_q3","avg_sec_q4","median_sec_q1","median_sec_q2","median_sec_q3","median_sec_q4","range_q1","rate_sd_diff_4_1","Runner","difference","Min","Max","Avg","Gen","Age","Australia","Belarus","Belgium","Canada","Denmark","Finland","France","Germany","India","Ireland","Japan","Mexico","NZ","Russia","Singapore","Spain","Sweden","Switzerland","Ukraine","UK","US","Age15_19","Age20_24","Age25_29","Age30_34","Age35_39","Age40_44","Age45_49","Age50_54","Age55_59","Age60_64","Yards","Team","AvgSeconds","MaxSeconds","MinSeconds"
"236",60.7419404804731,31.9732030657817,96.3024748730097,75.6485293974708,26.25,26.4285714285714,44.1666666666667,74.2,15,28,57.5,71,56.0802995712398,76.3129521553626,91.4011305546418,71.754442371187,2857,2989,3170.83333333333,3409.8,2870,3008,3152.5,3415,196,14.9065889169977,"Sointu Hyttinen",23,"46:00:00","58:26:00","51:41:00","F",59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,"Finland",3101,3506,2760
"237",191.249183004791,69.2332152600043,130.700803364019,153.894715092278,-105.25,18.7142857142857,-4.5,-14.75,-39.5,32,42.5,7.5,195.646875773675,81.0857864357543,114.838001840274,91.5751057875447,2749.2,2785.71428571429,2923.16666666667,3002,2672,2781,2922.5,3014.5,221,-37.3544679125132,"Terumichi MORISHITA",16,"43:35:00","51:40:00","47:46:00","M",40,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,"Japan",2866,3100,2615
"238",134.730286127507,186.273863923397,207.800866215711,91.7219530247076,-28.25,44.5714285714286,28,107.25,-9,46,24,98,96.1446826402792,122.592045108194,103.798683357096,191.015706160514,2975.6,2907.14285714286,2936.83333333333,3085.5,3033,2897,2911.5,3057.5,409,-43.0083331027998,"TARANG WADHWANI",20,"45:41:00","55:18:00","49:18:00","M",36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19,"India",2958,3318,2741
"239",49.749371855331,65.7292426042879,100.039325600819,24.8529005684783,-52.5,-7,-13.6666666666667,56.5,-37.5,-11,-13,62,93.4344690143846,38.1737880650859,53.6917125821108,65.2910152062799,3051,2973.28571428571,2926,3012.25,3000,2970,2923.5,3023.5,146,-24.8964712868527,"Shorne Lim",16,"47:28:00","53:00:00","49:52:00","M",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,19,"Singapore",2992,3180,2848
"240",59.1382560897202,67.4667819498356,55.8838080305915,42.068594778845,-7.66666666666667,-16.1666666666667,34,75.8333333333333,-21,-14,7,59,27.3861278752583,44.4315953648602,69.1787539639158,162.659665149866,2538,2524.83333333333,2596.2,2854.83333333333,2529.5,2518.5,2613,2842.5,412,-17.0696613108752,"Suzanne Chatterton",22,"41:19:00","51:15:00","44:13:00","F",49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,"Australia",2653,3075,2479
"241",179.070749519103,179.137563527772,179.650215697059,142.608087662189,61.3333333333333,91.3333333333333,22.2,31.3333333333333,-23,35,48,-18,115.112987972687,288.011631709554,110.310017677453,95.970134243246,2349.5,2623.5,2928.6,2970.33333333333,2380.5,2595.5,2940,2965.5,296,-36.4626618569137,"SATHISH KUMAR",20,"36:25:00","52:01:00","45:38:00","M",30,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,"India",2738,3121,2185
"242",51.4716750585536,150.035218087843,100.848896870516,211.528406287824,65.6666666666667,-0.833333333333333,-10,79.6666666666667,39,-52.5,-70,47.5,85.2408352845043,96.8689836841494,52.997169735751,200.972054442071,2820,2822,2866.8,3009.16666666667,2798.5,2820.5,2840,2927.5,548,160.05673122927,"Igor Kraev",13,"44:15:00","56:28:00","48:10:00","M",56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,"Russia",2890,3388,2655
"243",274.084536837329,243.252475150134,310.456116061514,76.3168832347513,23.6666666666667,130.833333333333,-98,38.6666666666667,144,66,31,44,123.696874118414,312.182478688347,348.806106597921,88.0562320338544,2753.25,3039.5,3009.2,2836.5,2771.5,3038.5,2780,2833.5,242,-197.767653602578,"Dmitry Demchuk",13,"43:10:00","56:46:00","48:29:00","M",40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,18,"Russia",2909,3406,2590
"244",29.484459183328,185.190442517966,79.3126723796393,90.5464889803391,13.3333333333333,-21.5,28,105.333333333333,24,0,14,112,18.5831464863551,119.514713180707,71.3806696522245,200.745610163709,2964,2839.83333333333,2879.8,3138,2961,2840,2849,3059.5,521,61.0620297970111,"Manuel Schmid",8,"43:55:00","58:01:00","49:22:00","M",40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,18,"Switzerland",2962,3481,2635
"245",263,68.5876568098566,148.786760163665,88.9044430835715,60,-13.6666666666667,-3,62,60,-8.5,33,82.5,134.28421351745,65.2239730978316,78.9132435019623,127.028605702285,3096.75,3092.83333333333,3028.6,3187.66666666667,3091,3097.5,3041,3164.5,341,-174.095556916429,"Michael Kaufmann",8,"48:44:00","56:53:00","51:53:00","M",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,18,"Switzerland",3113,3413,2924
"246",65.615038926555,37.9104207309811,48.4117754270591,64.0356671446989,-44.6666666666667,12,-3.8,51.1666666666667,-14,15.5,-25,59,62.6817357768593,43.5082367680726,42.1449878395996,146.522921983786,3086.5,3058.83333333333,3117.8,3222.83333333333,3060,3053,3130,3235.5,358,-1.57937178185617,"Lim Kay Kiat",16,"50:00:00","56:52:00","52:13:00","M",47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,"Singapore",3133,3412,3000
"247",40.4516171905813,51.717501873157,42.7352313671051,36.0873939208694,9.66666666666667,-1.5,33.4,56.4,24,-5.5,19,57,27.0231382337433,27.6797157981556,48.9356720603692,103.461103802347,2794.75,2790.16666666667,2859.2,3032.2,2796,2798,2877,3038,270,-4.36422326971194,"Lisa Spink",22,"45:41:00","52:58:00","47:54:00","F",42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,"Australia",2874,3178,2741
"248",58.045958802774,65.1441990254441,63.8490407132323,107.495581304535,-33.3333333333333,35.1666666666667,29.2,45.6,-46,24,0,90,57.6541412215983,105.814302750936,67.7701999406819,86.0186026391966,2954,3016.33333333333,3170.6,3253.8,2958,2984.5,3142,3242,226,49.4496225017615,"Kerrie Bremner",22,"48:05:00","56:18:00","51:41:00","F",54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,"Australia",3101,3378,2885
"249",238.361769865332,246.349074824053,63.9476348272553,224.146529454878,59.6666666666667,9.33333333333333,40.6,57.5,-36,11.5,25,-10,137.138312176673,147.12942148553,99.2506926927969,157.711498206905,2819.75,2733.33333333333,2868.8,2971.25,2804,2708,2855,2952.5,380,-14.2152404104533,"Alexey Dyuzhakov",13,"43:10:00","53:00:00","47:05:00","M",38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,16,"Russia",2825,3180,2590
"250",144.500288350347,106.282642044691,102.231110724671,112.878622127192,-16.3333333333333,30,29.2,41.25,-44,31,59,-4.5,82.0101619719573,91.3600934033381,75.6260537116674,100.621402627208,2942.5,2996.66666666667,3073.6,3161,2918.5,2987,3096,3117.5,211,-31.621666223155,"Gillian Connolly",17,"47:52:00","55:10:00","50:41:00","F",46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,16,"United Kingdom",3041,3310,2872
"251",54.6382039724343,41.7057150360315,72.5720331808335,173.002890149269,-44.6666666666667,9.16666666666667,-10.2,84,-60,8,1,50.5,69.4550214167413,25.6391627528409,75.46721142324,195.828794273638,3094,3044.83333333333,3034.6,3079.75,3083,3046,3048,3075.5,418,118.364686176835,"Low Weng Hoe",16,"47:55:00","54:53:00","51:06:00","M",44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,"Singapore",3066,3293,2875
"252",57.8734251045619,149.589660961801,121.647852426584,79.5550124127952,-26.6666666666667,35.6666666666667,42.2,64.5,-56,15,22,52,36.587793957366,155.525453436621,142.94859215816,41.0203201677738,2883,2942.16666666667,3144.6,3424,2885,2879,3119,3439,90,21.6815873082333,"Damien Wood ",23,"46:22:00","57:34:00","51:20:00","M",44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,16,"New Zealand",3080,3454,2782
